Time Block,Time Desc,UNCHAHAR4,CHANDIGARH_UT,HARYANA_STATE,HIMACHAL_STATE,JK&LADAKH_UT,PUNJAB_STATE,RAJASTHAN_STATE,UTTARAKHAND_STATE,UTTARPRADESH_STATE
1,00:00-00:15,257.81,163.648608,2919.185045,898.471638,2463.055559,1974.661967,3464.07871,1227.060154,5707.888517
2,00:15-00:30,257.81,161.082531,2737.499105,898.471638,2443.905559,1931.031388,3474.577758,1201.031663,5118.275335
3,00:30-00:45,257.81,159.468834,2734.830379,891.722275,2428.118206,1896.707268,3357.696185,1159.794583,4695.92311
4,00:45-01:00,257.81,159.008397,2790.660379,891.722275,2418.538206,1901.877753,3157.87252,1153.094583,4785.328445
5,01:00-01:15,257.81,158.558834,2688.680379,891.722275,2380.228206,2138.280414,3067.126185,1178.954583,4997.936018
6,01:15-01:30,257.81,158.651078,2689.302499,832.705441,2361.068206,2101.513858,2922.379573,1186.414222,5143.46802
7,01:30-01:45,257.81,158.577848,2672.984188,833.885687,2334.682341,2050.716706,2671.771823,1181.414932,5070.022655
8,01:45-02:00,257.81,162.194796,2631.707506,889.092781,2325.112341,2039.346191,2652.884683,1175.163168,4953.621887
9,02:00-02:15,257.81,158.916086,2557.525911,951.247929,2296.271793,1967.255433,2641.004637,1151.021189,4822.659614
10,02:15-02:30,257.81,159.545658,2512.555911,912.931929,2296.271793,1971.167175,2615.993866,1146.231189,4803.810818
11,02:30-02:45,257.81,159.535857,2430.440861,902.175861,2294.594529,1912.959606,2608.67146,1136.173815,4660.937238
12,02:45-03:00,257.81,159.350575,2429.836461,939.069838,2294.594529,1916.307071,2597.819146,1149.629125,4573.40494
13,03:00-03:15,257.81,159.168853,2484.154021,910.33313,2303.497658,1918.624408,2397.201589,1133.277833,4463.35339
14,03:15-03:30,257.81,158.683004,2531.8067,911.754248,2303.497658,1920.063442,2401.334303,1134.379518,4456.487895
15,03:30-03:45,257.81,159.69315,2550.026377,883.139904,2332.237658,1943.081832,2399.983813,1139.169518,4446.057838
16,03:45-04:00,257.81,159.40124,2537.306377,883.139904,2332.237658,1943.448317,2387.954064,1151.619518,4434.058675
17,04:00-04:15,257.81,163.053447,2612.705368,891.065478,2335.490686,1994.241492,2428.499876,1149.082868,4427.063451
18,04:15-04:30,257.81,160.210365,2723.989699,905.508311,2341.460127,1975.884613,2781.825231,1129.205743,4247.045598
19,04:30-04:45,257.81,162.474542,2837.641392,983.675825,2357.797028,1999.225193,2921.138241,1164.952346,4642.507954
20,04:45-05:00,257.81,161.806212,2898.326529,983.675825,2396.107028,1949.168642,3019.543629,1194.290215,5255.719051
21,05:00-05:15,257.81,156.58711,3052.117261,983.675825,2434.427028,2602.753562,3306.513629,1189.885354,5682.369209
22,05:15-05:30,257.81,155.898446,3073.489761,983.675825,2482.327028,2270.450497,3586.703629,1205.028377,5899.465968
23,05:30-05:45,257.81,156.896701,3063.575319,993.918649,2485.246623,2486.824036,3858.213704,1238.928019,6154.852753
24,05:45-06:00,257.81,155.891367,3079.732686,1086.451789,2546.755179,2549.529942,4256.833803,1364.223137,6059.667744
25,06:00-06:15,329.81,178.635045,3179.194272,1409.483801,2579.152797,2615.680992,5153.019795,1441.038029,6203.283107
26,06:15-06:30,401.81,194.856118,3271.959634,1575.087852,2576.8464,2880.310387,5411.923062,1432.839547,6191.436818
27,06:30-06:45,468.75,223.773532,3485.750237,1769.719611,2614.170664,3030.0812,4410.46808,1614.066524,6318.787897
28,06:45-07:00,468.75,253.868413,3710.396894,1860.22903,2615.32178,3236.053446,3880.93918,1669.452859,6540.200818
29,07:00-07:15,468.75,268.379892,3982.95993,2050.897606,2709.245635,3646.202741,5471.864191,1723.377818,7392.741028
30,07:15-07:30,468.75,274.849479,4155.194875,2093.2974,2870.801799,3822.608187,5547.396309,1571.540466,7583.744068
31,07:30-07:45,468.75,283.912921,4157.383015,2123.194688,2959.709623,3949.629516,5577.30345,1485.744424,7774.745288
32,07:45-08:00,468.75,290.955611,4191.379987,2111.340984,2956.18904,3963.765471,5558.061175,1418.061971,7987.937463
33,08:00-08:15,468.75,306.052732,4300.444867,2076.270145,2839.032955,4314.518401,5614.323888,1470.886927,8325.275447
34,08:15-08:30,468.75,301.338287,4198.953788,2015.972893,2677.862341,4590.632911,5547.276837,1381.915169,8267.935716
35,08:30-08:45,468.75,272.59214,4021.351845,1766.261334,2573.759545,4432.129542,5253.497702,1339.032532,8068.28287
36,08:45-09:00,468.75,256.844024,3945.571962,1552.919207,2529.717193,4504.086309,5125.985287,1297.570993,8122.51801
37,09:00-09:15,468.742197,276.175436,4393.331857,1446.44564,2478.573532,4281.85788,5028.649957,1271.194472,8173.567986
38,09:15-09:30,468.75,269.819091,4545.968537,1352.390735,2484.693661,4293.616777,5011.770242,1261.82105,8238.59237
39,09:30-09:45,468.75,258.646276,4688.110551,1303.270145,2489.004044,4293.901943,5025.259097,1257.24401,8217.423336
40,09:45-10:00,468.75,266.148534,4607.771903,1191.123927,2556.165799,4348.23297,4980.16984,1249.594436,8252.782772
41,10:00-10:15,468.75,291.638534,4830.841903,1193.171297,2585.27479,4631.36297,4986.85984,1221.084436,8343.216339
42,10:15-10:30,468.75,278.25941,4725.331212,1189.000798,2551.042007,4839.988195,4945.292617,1179.300362,8256.946488
43,10:30-10:45,468.75,240.294364,4881.008919,1239.020988,2523.656278,5494.012822,4927.005896,1136.991926,8110.890634
44,10:45-11:00,468.75,255.737523,4796.569746,1238.590733,2578.699409,5730.632698,4890.716458,1127.070443,8140.891614
45,11:00-11:15,468.75,259.204975,4772.141053,1180.628103,2625.24071,5400.894398,4386.421361,1274.510052,8009.202728
46,11:15-11:30,468.75,248.482426,4632.172361,1228.630733,2642.295306,5101.906098,4370.126263,1459.249661,7945.003842
47,11:30-11:45,468.75,250.839136,4670.182888,1357.971827,2652.095306,4991.378933,4376.286867,1596.319661,7974.363842
48,11:45-12:00,468.75,252.039136,4920.482888,1357.586692,2653.845306,5057.648933,4376.736867,1576.269661,7989.693842
49,12:00-12:15,468.757794,240.094515,5185.936776,1377.72275,2622.163187,5054.886765,4370.984672,1044.017567,7977.306656
50,12:15-12:30,468.757702,240.294426,4695.166776,1377.72275,2622.163187,5113.576765,4377.374672,1558.407567,7997.286656
51,12:30-12:45,468.757857,240.304575,5283.526776,1339.41275,2608.269444,4916.396765,4370.034672,1692.577567,7979.606656
52,12:45-13:00,468.757794,240.284515,5279.706776,1341.61275,2607.609444,4774.726765,4368.254672,1717.357567,7970.346656
53,13:00-13:15,468.757917,240.344632,5040.596776,1284.13275,2636.730814,4440.929971,4915.764672,1648.477567,7971.249211
54,13:15-13:30,468.747917,234.244632,4865.546776,1284.60275,2636.190814,4205.279971,5350.294672,1626.457567,7942.339211
55,13:30-13:45,468.749167,234.592802,4895.514322,1298.399422,2645.949899,4495.481308,4838.979507,1605.427614,7945.963853
56,13:45-14:00,468.749167,234.362802,4503.874322,1298.069422,2659.330512,4698.001308,5038.549507,1612.137614,7919.173853
57,14:00-14:15,468.749167,229.462802,4275.384322,1351.429422,2658.757458,4786.671308,5156.569507,1599.677614,7889.496626
58,14:15-14:30,468.747917,229.412802,4267.964322,1349.771522,2663.909973,4786.411308,4425.959507,1592.977614,7867.987877
59,14:30-14:45,468.747917,217.935351,4205.233014,1320.411522,2623.303964,4314.689608,4375.354605,1589.438005,7921.616763
60,14:45-15:00,468.747917,217.935351,4162.763014,1319.391522,2617.143964,4274.199608,4384.364605,1586.478005,7817.656763
61,15:00-15:15,468.747917,220.834913,3816.671481,1287.525389,2628.391528,4564.188527,4401.086153,1526.428396,7883.201201
62,15:15-15:30,468.747917,218.967462,3778.900817,1285.855389,2604.49669,4547.756827,4713.011894,1531.508787,7898.912019
63,15:30-15:45,468.747917,218.393517,3774.446227,1312.735389,2603.797743,4583.511464,4585.17039,1525.670869,7876.967221
64,15:45-16:00,468.747917,218.501114,3705.140027,1311.749911,2604.702188,4574.933987,4661.60976,1477.840841,7819.513721
65,16:00-16:15,468.747917,224.454948,3763.380918,1400.666879,2596.594093,4506.326861,4570.479645,1609.137837,7614.095938
66,16:15-16:30,468.747917,218.669535,3732.185916,1425.268414,2610.98058,4426.87431,4513.8326,1329.835144,7513.5149
67,16:30-16:45,468.745866,228.214194,3678.342062,1491.824146,2670.743581,4189.603201,4573.03733,1238.98838,7406.390619
68,16:45-17:00,468.75,246.127737,3646.870976,1627.335558,2685.768651,4053.193871,4667.321809,1286.183048,7438.718529
69,17:00-17:15,468.744134,259.670579,3757.651813,1791.456021,2648.651987,3861.904518,3696.186408,1307.90327,7491.930914
70,17:15-17:30,468.748268,278.772635,3908.333921,1994.639159,2652.258241,3905.442131,3842.658897,1344.817353,7770.122883
71,17:30-17:45,468.748268,299.86468,4093.104849,2181.57261,2758.39388,3932.289178,4075.99915,1387.616285,8422.786717
72,17:45-18:00,468.741341,301.250712,4199.40216,2187.859698,2770.518754,3950.555659,4109.466499,1391.842949,8697.1766
73,18:00-18:15,468.7475,301.743068,4251.893939,1923.686766,2766.908655,3894.791809,3639.640767,1405.194329,8761.961237
74,18:15-18:30,468.7475,301.162176,4293.860879,1888.215633,2758.978293,3892.595635,3629.694595,1424.354807,8764.103714
75,18:30-18:45,468.7575,289.297358,4196.751093,1809.842512,2721.952016,3837.729045,3813.139886,1404.641417,8731.276797
76,18:45-19:00,468.7575,282.725426,4108.428115,1643.034769,2697.275569,3829.366232,3773.657366,1378.048597,8624.556116
77,19:00-19:15,468.75,274.132495,4023.42828,1499.723009,2515.825706,3683.775832,3588.648012,1341.667246,9472.370971
78,19:15-19:30,468.75,260.676778,3906.265256,1305.626678,2556.145148,3655.176782,3537.153975,1317.620843,9671.981004
79,19:30-19:45,468.75,242.404632,3750.741962,1172.334756,2683.087371,3400.495199,3564.158737,1285.74081,10036.942282
80,19:45-20:00,468.75,235.845465,3799.569857,1159.575651,2715.081432,3783.258188,3717.125975,1277.418648,9785.028968
81,20:00-20:15,468.75,221.992139,4047.818385,1180.878263,2821.630025,3565.171047,3991.906931,1374.726358,9505.208902
82,20:15-20:30,468.75,234.106774,4016.907248,1141.016304,2763.538808,3218.422839,4427.344015,1602.477332,9268.460159
83,20:30-20:45,468.75,227.985153,4001.364047,1129.019755,2878.360203,2750.33568,4706.594742,1638.54812,9064.331661
84,20:45-21:00,396.76,226.83855,4048.104288,1114.648381,2980.009731,2415.460448,4509.478138,1635.67812,8780.679189
85,21:00-21:15,385.93,229.387528,3864.779642,1306.798309,2844.998974,2483.541645,4427.621761,1701.751088,8852.153873
86,21:15-21:30,457.93,216.47498,3699.91721,1307.085679,2846.812428,2473.682934,4316.396664,1678.460697,8325.12548
87,21:30-21:45,385.93,206.037382,3580.656,1183.037886,2830.340227,2476.789885,4136.480357,1638.740501,7589.69996
88,21:45-22:00,313.93,205.487382,3596.546,1173.745256,2815.970227,2480.939988,3840.620357,1610.000501,7293.425397
89,22:00-22:15,385.939821,205.257083,3454.992803,1126.710551,2773.380227,2377.63418,3844.038826,1498.479851,7164.500613
90,22:15-22:30,313.93,204.757083,3313.152803,1111.60466,2735.100227,2303.82418,4043.968826,1517.639851,7085.336003
91,22:30-22:45,257.81,194.069472,3106.883901,1069.422192,2692.183313,2175.135005,4195.541394,1454.941041,6857.390691
92,22:45-23:00,257.81,199.15726,3144.174897,1062.071746,2711.687438,2075.055469,3954.582035,1393.39483,6690.249163
93,23:00-23:15,257.81,197.907556,3149.252781,957.793316,2661.538508,2227.478591,3950.086806,1348.067944,5881.705452
94,23:15-23:30,257.81,198.145115,3144.109508,930.094679,2607.500621,2235.257041,3858.999919,1281.391341,5719.366297
95,23:30-23:45,257.81,169.357366,3132.282,960.620107,2630.788986,2501.045239,3567.664726,1247.696984,5731.153531
96,23:45-24:00,257.81,163.921009,3088.459865,958.156168,2553.115742,2442.235814,3466.847376,1264.063223,5548.987368
